date,game_pk,away_team,home_team,field,before,after,official_date,healed_at
2026-04-03,824134,MIL,KC,graded_result,PASS,POSTPONED,2026-04-04,2026-09-05T18:42:02Z
2026-04-03,824134,MIL,KC,graded_at,2026-04-25T23:41:35+00:00,2026-09-05T18:42:02Z,2026-04-04,2026-09-05T18:42:02Z
2026-04-03,824134,MIL,KC,fi_away_runs,0,,2026-04-04,2026-09-05T18:42:02Z
2026-04-03,824134,MIL,KC,fi_home_runs,0,,2026-04-04,2026-09-05T18:42:02Z
2026-04-03,824134,MIL,KC,fi_total_runs,0,,2026-04-04,2026-09-05T18:42:02Z
2026-07-17,824414,PIT,CLE,actual_result,NRFI,POSTPONED,2026-07-18,2026-09-05T18:42:02Z
2026-07-17,824414,PIT,CLE,graded_result,WIN,POSTPONED,2026-07-18,2026-09-05T18:42:02Z
2026-07-17,824414,PIT,CLE,graded_at,2026-07-18T17:25:39+00:00,2026-09-05T18:42:02Z,2026-07-18,2026-09-05T18:42:02Z
2026-07-17,824414,PIT,CLE,fi_away_runs,0,,2026-07-18,2026-09-05T18:42:02Z
2026-07-17,824414,PIT,CLE,fi_home_runs,0,,2026-07-18,2026-09-05T18:42:02Z
2026-07-17,824414,PIT,CLE,fi_total_runs,0,,2026-07-18,2026-09-05T18:42:02Z
2026-07-17,824414,PIT,CLE,profit_loss_units,0,,2026-07-18,2026-09-05T18:42:02Z
2026-04-04,824460,CHC,CLE,actual_result,NRFI,POSTPONED,2026-04-05,2026-09-05T18:42:02Z
2026-04-04,824460,CHC,CLE,graded_result,PASS,POSTPONED,2026-04-05,2026-09-05T18:42:02Z
2026-04-04,824460,CHC,CLE,graded_at,2026-04-25T23:43:02+00:00,2026-09-05T18:42:02Z,2026-04-05,2026-09-05T18:42:02Z
2026-04-04,824460,CHC,CLE,fi_away_runs,0,,2026-04-05,2026-09-05T18:42:02Z
2026-04-04,824460,CHC,CLE,fi_home_runs,0,,2026-04-05,2026-09-05T18:42:02Z
2026-04-04,824460,CHC,CLE,fi_total_runs,0,,2026-04-05,2026-09-05T18:42:02Z
2026-07-27,824490,CLE,CIN,actual_result,YRFI,POSTPONED,2026-07-28,2026-09-05T18:42:02Z
2026-07-27,824490,CLE,CIN,graded_result,WIN,POSTPONED,2026-07-28,2026-09-05T18:42:02Z
2026-07-27,824490,CLE,CIN,graded_at,2026-07-28T18:12:41+00:00,2026-09-05T18:42:02Z,2026-07-28,2026-09-05T18:42:02Z
2026-07-27,824490,CLE,CIN,fi_away_runs,4,,2026-07-28,2026-09-05T18:42:02Z
2026-07-27,824490,CLE,CIN,fi_home_runs,0,,2026-07-28,2026-09-05T18:42:02Z
2026-07-27,824490,CLE,CIN,fi_total_runs,4,,2026-07-28,2026-09-05T18:42:02Z
2026-07-27,824490,CLE,CIN,profit_loss_units,0.8,,2026-07-28,2026-09-05T18:42:02Z
2026-05-22,824518,STL,CIN,actual_result,NRFI,POSTPONED,2026-05-23,2026-09-05T18:42:02Z
2026-05-22,824518,STL,CIN,graded_result,PASS,POSTPONED,2026-05-23,2026-09-05T18:42:02Z
2026-05-22,824518,STL,CIN,graded_at,2026-05-23T17:28:46+00:00,2026-09-05T18:42:02Z,2026-05-23,2026-09-05T18:42:02Z
2026-05-22,824518,STL,CIN,fi_away_runs,0,,2026-05-23,2026-09-05T18:42:02Z
2026-05-22,824518,STL,CIN,fi_home_runs,0,,2026-05-23,2026-09-05T18:42:02Z
2026-05-22,824518,STL,CIN,fi_total_runs,0,,2026-05-23,2026-09-05T18:42:02Z
2026-04-02,824621,TOR,CWS,actual_result,YRFI,POSTPONED,2026-04-03,2026-09-05T18:42:02Z
2026-04-02,824621,TOR,CWS,graded_result,PASS,POSTPONED,2026-04-03,2026-09-05T18:42:02Z
2026-04-02,824621,TOR,CWS,graded_at,2026-04-25T23:40:09+00:00,2026-09-05T18:42:02Z,2026-04-03,2026-09-05T18:42:02Z
2026-04-02,824621,TOR,CWS,fi_away_runs,0,,2026-04-03,2026-09-05T18:42:02Z
2026-04-02,824621,TOR,CWS,fi_home_runs,1,,2026-04-03,2026-09-05T18:42:02Z
2026-04-02,824621,TOR,CWS,fi_total_runs,1,,2026-04-03,2026-09-05T18:42:02Z
2026-07-21,824735,BAL,BOS,actual_result,YRFI,POSTPONED,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,824735,BAL,BOS,graded_result,LOSS,POSTPONED,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,824735,BAL,BOS,graded_at,2026-07-22T17:55:13+00:00,2026-09-05T18:42:02Z,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,824735,BAL,BOS,fi_away_runs,0,,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,824735,BAL,BOS,fi_home_runs,4,,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,824735,BAL,BOS,fi_total_runs,4,,2026-07-22,2026-09-05T18:42:02Z
2026-07-21,824735,BAL,BOS,profit_loss_units,0,,2026-07-22,2026-09-05T18:42:02Z
2026-05-23,824840,DET,BAL,actual_result,YRFI,POSTPONED,2026-05-24,2026-09-05T18:42:02Z
2026-05-23,824840,DET,BAL,graded_result,PASS,POSTPONED,2026-05-24,2026-09-05T18:42:02Z
2026-05-23,824840,DET,BAL,graded_at,2026-05-24T22:17:54+00:00,2026-09-05T18:42:02Z,2026-05-24,2026-09-05T18:42:02Z
2026-05-23,824840,DET,BAL,fi_away_runs,2,,2026-05-24,2026-09-05T18:42:02Z
2026-05-23,824840,DET,BAL,fi_home_runs,0,,2026-05-24,2026-09-05T18:42:02Z
2026-05-23,824840,DET,BAL,fi_total_runs,2,,2026-05-24,2026-09-05T18:42:02Z
2026-04-29,824850,HOU,BAL,graded_at,2026-04-30T00:22:40+00:00,2026-09-05T18:42:02Z,2026-04-30,2026-09-05T18:42:02Z
2026-04-29,824850,HOU,BAL,profit_loss_units,0,,2026-04-30,2026-09-05T18:42:02Z
2026-06-17,824912,SF,ATL,actual_result,YRFI,SUSPENDED,2026-06-16,2026-09-05T18:42:02Z
2026-06-17,824912,SF,ATL,graded_result,PASS,SUSPENDED,2026-06-16,2026-09-05T18:42:02Z
2026-06-17,824912,SF,ATL,graded_at,2026-06-17T04:11:41+00:00,2026-09-05T18:42:02Z,2026-06-16,2026-09-05T18:42:02Z
2026-06-17,824912,SF,ATL,fi_away_runs,1,,2026-06-16,2026-09-05T18:42:02Z
2026-06-17,824912,SF,ATL,fi_home_runs,2,,2026-06-16,2026-09-05T18:42:02Z
2026-06-17,824912,SF,ATL,fi_total_runs,3,,2026-06-16,2026-09-05T18:42:02Z
